algorithm,number of nodes,weight,run time
CR,10,252.87955448375536,0.0006643000524491072
CNN,10,260.9070533755676,0.0009723999537527561
CR,10,211.8081274581352,0.0006825999589636922
CNN,10,229.89236993190872,0.0009741999674588442
CR,10,246.47599763714396,0.0007832000264897943
CNN,10,346.23658917714897,0.0008774999296292663
CR,10,219.82594125873018,0.0006811999483034015
CNN,10,337.07095739311956,0.0011326998937875032
CR,10,267.3622503704757,0.0006299000233411789
CNN,10,295.7488019967103,0.001145699992775917
CR,10,182.8596897576863,0.0006376999663189054
CNN,10,194.71797461039233,0.0007873999420553446
CR,10,261.70803136875185,0.0006543999770656228
CNN,10,265.5518774279202,0.0011530999327078462
CR,10,267.3622503704757,0.0006730000022798777
CNN,10,295.7488019967103,0.0010272999061271548
CR,10,255.3847849442033,0.0006265999982133508
CNN,10,218.17513434573792,0.0007908999687060714
CR,10,184.71454404301377,0.0009283999679610133
CNN,10,219.92810624290212,0.0009135999716818333
CR,10,148.8196953544611,0.000609499984420836
CNN,10,148.8196953544611,0.0006532999686896801
CR,10,148.81969535446106,0.0006011000368744135
CNN,10,148.81969535446106,0.0007420000620186329
CR,10,148.81969535446106,0.0005990999052301049
CNN,10,148.81969535446106,0.0006773000350221992
CR,10,179.73344719217968,0.0006457999115809798
CNN,10,187.52541320814262,0.000802299939095974
CR,10,242.99537331320025,0.0005243000341579318
CNN,10,401.92595798050786,0.0007254999363794923
CR,10,219.88234490221424,0.00040909997187554836
CNN,10,254.83970484510698,0.000614199903793633
CR,10,278.32686694009163,0.00040989997796714306
CNN,10,278.32686694009163,0.0008057000814005733
CR,10,251.22325582707668,0.0003871999215334654
CNN,10,255.43231592615126,0.0006312000332400203
CR,10,219.88234490221424,0.00039549998473376036
CNN,10,254.83970484510698,0.0006122000049799681
CR,10,205.6988774472641,0.00046209990978240967
CNN,10,205.16404937171686,0.0006105999927967787
CR,10,220.89089523955633,0.0003831000067293644
CNN,10,237.29581074708392,0.0006081999745219946
CR,10,205.38809936902499,0.00038490002043545246
CNN,10,210.16642433697268,0.0006877999985590577
CR,10,151.8022958689547,0.00035990006290376186
CNN,10,258.6801051747134,0.0004224000731483102
CR,10,220.89089523955633,0.00038400001358240843
CNN,10,237.29581074708392,0.0006121000042185187
CR,10,250.3006532549936,0.000699399970471859
CNN,10,242.98661128875364,0.00098840007558465
CR,10,250.3006532549936,0.0007074000313878059
CNN,10,242.98661128875364,0.0008996999822556973
CR,10,239.46813880378778,0.0006937000434845686
CNN,10,219.926699103244,0.001012600027024746
CR,10,242.39787619886494,0.0006908000214025378
CNN,10,209.22621653557837,0.0009303999831900001
CR,10,240.9477993588289,0.0007053000153973699
CNN,10,207.29186100186297,0.0009269999573007226
CR,10,201.3209242074335,0.0005935999797657132
CNN,10,294.9769485697071,0.0007513999007642269
CR,10,208.9378973248074,0.0005161999724805355
CNN,10,293.38690026234667,0.000843699905090034
CR,10,201.61417457799996,0.0005191999953240156
CNN,10,292.86584212591134,0.0008504999568685889
CR,10,182.41378602126707,0.0005281999474391341
CNN,10,275.1671657102574,0.0007388999219983816
CR,10,181.0016078124651,0.0005212000105530024
CNN,10,214.44381024392283,0.001010499894618988
CR,10,215.4995375905138,0.00042369996663182974
CNN,10,220.855179592409,0.0006550999823957682
CR,10,207.7862539173213,0.0004270001081749797
CNN,10,217.80614870429338,0.0007362000178545713
CR,10,207.7862539173213,0.0004230999620631337
CNN,10,217.80614870429338,0.0006605000235140324
CR,10,192.2225699121621,0.0004235000815242529
CNN,10,211.35485751814656,0.0006147000240162015
CR,10,192.2225699121621,0.0004265999887138605
CNN,10,211.35485751814656,0.0007755999686196446
CR,10,223.66562681654258,0.0005778000922873616
CNN,10,222.93912864519277,0.0007685000309720635
CR,10,215.96625955865025,0.0005815000040456653
CNN,10,223.03234911559755,0.0008702999912202358
CR,10,230.96513063199959,0.0006137000164017081
CNN,10,272.2633427848013,0.0007954000029712915
CR,10,230.96513063199959,0.0006182999350130558
CNN,10,272.2633427848013,0.0009091999381780624
CR,10,230.96513063199959,0.0005939999828115106
CNN,10,272.2633427848013,0.0007764999754726887
CR,10,232.877934007185,0.00027790002059191465
CNN,10,254.14770550898825,0.0006223000818863511
CR,10,168.75022219387424,0.000295399921014905
CNN,10,221.7874321661178,0.0005398000357672572
CR,10,212.53784342665628,0.0002864999696612358
CNN,10,243.47463481576918,0.0005319999763742089
CR,10,215.6908493277387,0.0003149999538436532
CNN,10,221.7874321661178,0.000636099954135716
CR,10,241.00061008173904,0.0002864999696612358
CNN,10,243.05855404202575,0.0005225000204518437
CR,12,204.04972785449692,0.0006207000697031617
CNN,12,216.0090458313027,0.0009907000930979848
CR,12,228.7424742318442,0.0006330999312922359
CNN,12,414.9857556466858,0.0009226999245584011
CR,12,270.12198881667007,0.0006467000348493457
CNN,12,264.6262817981833,0.0010461999336257577
CR,12,228.7424742318442,0.0006318999221548438
CNN,12,414.9857556466858,0.0008991999784484506
CR,12,250.95171358820522,0.0006296000210568309
CNN,12,269.60434578674165,0.001014700043015182
CR,12,230.04779382424235,0.000824499991722405
CNN,12,230.08320192518644,0.0011415999615564942
CR,12,207.7336295030213,0.0008947999449446797
CNN,12,240.62795416540573,0.0013289999915286899
CR,12,230.04779382424235,0.0008076999802142382
CNN,12,230.08320192518644,0.0011421000817790627
CR,12,187.07136975239584,0.0009081999305635691
CNN,12,226.2836915736499,0.0011166000040248036
CR,12,187.07136975239584,0.0007937999907881021
CNN,12,226.2836915736499,0.0011099999537691474
CR,12,231.97422925868054,0.0007704000454396009
CNN,12,232.23006129997887,0.0009041000157594681
CR,12,238.46978162643765,0.0006418999982997775
CNN,12,244.9521053513194,0.0009684000397101045
CR,12,227.26009460704609,0.0006429000059142709
CNN,12,231.7396382926936,0.0008907000301405787
CR,12,222.10411656613562,0.0006640000501647592
CNN,12,222.10411656613562,0.0007545000407844782
