algorithm,number of nodes,weight,run time
CR,50,3445.7900865872084,0.00943029997870326
CNN,50,3060.064383298333,0.08743300009518862
CR,50,3869.7831106399262,0.00960390002001077
CNN,50,4320.161279842403,0.07886730006430298
CR,50,3748.8143123944255,0.009563500061631203
CNN,50,3152.400962818389,0.08532469999045134
CR,50,3785.1463300145847,0.009536499972455204
CNN,50,4244.391695742713,0.07526519999373704
CR,50,3728.9259113652943,0.009552899980917573
CNN,50,4201.420160570917,0.07700920000206679
CR,50,3420.665396455829,0.011281999992206693
CNN,50,4402.667065830357,0.058861800003796816
CR,50,3981.5162198319354,0.011466800002381206
CNN,50,3127.200631901558,0.06903440004680306
CR,50,3503.0461996633,0.0113314000191167
CNN,50,4510.826483646641,0.07066349999513477
CR,50,3853.545104632555,0.011251799995079637
CNN,50,3061.1875760557627,0.06772110005840659
CR,50,3939.2209153110643,0.011225400026887655
CNN,50,4369.8447568660895,0.06987929996103048
CR,50,3295.4388150367167,0.012307500001043081
CNN,50,2842.9895798313173,0.06583770003635436
CR,50,3406.434032394869,0.01227960002142936
CNN,50,2651.8492165007888,0.06330660008825362
CR,50,2910.9414908228855,0.012520199990831316
CNN,50,3721.948671226244,0.05846999993082136
CR,50,3262.3076571674496,0.012383099994622171
CNN,50,2847.5131352388557,0.0699846000643447
CR,50,3396.6350387739744,0.012435699929483235
CNN,50,2892.358497200904,0.06312839989550412
CR,50,3357.7991214848594,0.008047800045460463
CNN,50,4080.515836987165,0.07305759994778782
CR,50,3194.4119230037336,0.008124399930238724
CNN,50,4030.59574164249,0.09086660004686564
CR,50,3423.8727474480347,0.00811169994994998
CNN,50,2771.0678531464864,0.07521299994550645
CR,50,3335.4054593145806,0.008092099917121232
CNN,50,4285.9783942647455,0.06706979998853058
CR,50,3249.1280294979865,0.008090600022114813
CNN,50,2860.472547361272,0.08202879992313683
CR,50,3347.8737235862823,0.014055100036785007
CNN,50,2907.52630072475,0.09585619997233152
CR,50,3114.444019884877,0.013955499976873398
CNN,50,2874.0404631383453,0.09010820009279996
CR,50,3228.926368903618,0.013985099969431758
CNN,50,3975.0234410402113,0.09582259994931519
CR,50,3185.0823158672074,0.01387949998024851
CNN,50,3729.142095398744,0.08680950000416487
CR,50,3312.0425979690986,0.01397610001731664
CNN,50,3098.9429954709,0.09275809989776462
CR,50,3331.5930280923885,0.015970699954777956
