algorithm,number of nodes,k,weight,run time
CNN,50,5,1636.6625710937396,0.021747700055129826
CR,50,5,1944.1608720192276,0.017541499924845994
CNN,50,5,2013.4512133754336,0.02249779994599521
CR,50,5,1638.2132368332284,0.007235000026412308
CNN,50,5,1638.2132368332284,0.009407099918462336
CR,50,5,1675.0063681383538,0.007147300057113171
CNN,50,5,1675.0063681383538,0.009975400054827332
CR,50,5,1705.776408485947,0.007098200032487512
CNN,50,5,1705.776408485947,0.009410900063812733
CR,50,5,1724.9677134312055,0.007149800076149404
CNN,50,5,1724.9677134312055,0.00950289994943887
CR,50,5,1632.3420899989994,0.007258099969476461
CNN,50,5,1632.3420899989994,0.009502199944108725
CR,50,5,1625.433974214066,0.022386700031347573
CNN,50,5,1625.433974214066,0.02495790005195886
CR,50,5,1668.1764976587635,0.02243000001180917
CNN,50,5,1668.1764976587635,0.024691600003279746
CR,50,5,1625.433974214066,0.022328300052322447
CNN,50,5,1625.433974214066,0.024680000031366944
CR,50,5,1704.5081978653075,0.022794899996370077
CNN,50,5,1704.5081978653075,0.024798700003884733
CR,50,5,1668.391255717907,0.02250860002823174
CNN,50,5,1668.391255717907,0.024538600002415478
CR,50,5,1599.6727347200997,0.00679320003837347
CNN,50,5,1599.6727347200997,0.009042699937708676
CR,50,5,1606.1863586053928,0.006670600036159158
CNN,50,5,1606.1863586053928,0.009210200048983097
CR,50,5,1598.232226044771,0.006924399989657104
CNN,50,5,1598.232226044771,0.008976900018751621
CR,50,5,1606.1863586053928,0.00669389998074621
CNN,50,5,1606.1863586053928,0.008991100010462105
CR,50,5,1569.7179568904367,0.006676200078800321
CNN,50,5,1569.7179568904367,0.00896049989387393
CR,50,5,1570.8724889325358,0.010398400016129017
CNN,50,5,1570.8724889325358,0.013173500075936317
CR,50,5,1568.7353206665307,0.010274400003254414
CNN,50,5,1568.7353206665307,0.012697000056505203
CR,50,5,1601.4735935163367,0.01021539990324527
CNN,50,5,1601.4735935163367,0.012530699954368174
CR,50,5,1576.7003650802096,0.010176400071941316
CNN,50,5,1576.7003650802096,0.012672799988649786
CR,50,5,1579.7082560411122,0.010175699950195849
CNN,50,5,1579.7082560411122,0.01268549996893853
CR,50,5,1572.2517533483417,0.017674700007773936
CNN,50,5,1572.2517533483417,0.02039740001782775
CR,50,5,1534.9840373535205,0.017698099953122437
CNN,50,5,1534.9840373535205,0.02029479993507266
CR,50,5,1525.496941587555,0.01783100003376603
CNN,50,5,1525.496941587555,0.020169900031760335
CR,50,5,1569.375090861671,0.01763679995201528
CNN,50,5,1569.375090861671,0.02013520000036806
CR,50,5,1564.0066431121136,0.01774799998383969
CNN,50,5,1564.0066431121136,0.019933899980969727
CR,50,5,1612.688395615782,0.01382650004234165
CNN,50,5,1612.688395615782,0.016167800058610737
CR,50,5,1598.066764693244,0.013664400088600814
CNN,50,5,1598.066764693244,0.015947200008668005
CR,50,5,1572.8398044270054,0.013997300062328577
CNN,50,5,1572.8398044270054,0.015852099983021617
CR,50,5,1598.0667646932434,0.013649099972099066
CNN,50,5,1598.0667646932434,0.016375700011849403
CR,50,5,1603.5795227934582,0.013614900060929358
CNN,50,5,1603.5795227934582,0.015984599944204092
CR,50,5,1536.4913719980782,0.00849999999627471
CNN,50,5,1536.4913719980782,0.010712099960073829
CR,50,5,1536.4913719980784,0.00838160002604127
CNN,50,5,1536.4913719980784,0.011376600014045835
CR,50,5,1497.9171853697942,0.008572899969294667
CNN,50,5,1497.9171853697942,0.011150900041684508
